first_name,last_name,birth_year,position,club_team,country,image
Lionel,Messi,1987,Forward,Inter Miami,Argentina,
Cristiano,Ronaldo,1985,Forward,Al Nassr,Portugal,
Kylian,Mbappe,1998,Forward,Paris Saint-Germain,France,
Kevin,De Bruyne,1991,Midfielder,Manchester City,Belgium,
Virgil,van Dijk,1991,Defender,Liverpool,Netherlands,
Alisson,Becker,1992,Goalkeeper,Liverpool,Brazil,
Erling,Haaland,2000,Forward,Manchester City,Norway,
Neymar,Junior,1992,Forward,Al Hilal,Brazil,
Luka,Modric,1985,Midfielder,Real Madrid,Croatia,
Sergio,Ramos,1986,Defender,Sevilla,Spain,
Jan,Oblak,1993,Goalkeeper,Atletico Madrid,Slovenia,
Joshua,Kimmich,1995,Midfielder,Bayern Munich,Germany,
Trent,Alexander-Arnold,1998,Defender,Liverpool,England,
Heung-min,Son,1992,Forward,Tottenham Hotspur,South Korea,
Jude,Bellingham,2003,Midfielder,Real Madrid,England,
Pedri,Gonzalez,2002,Midfielder,Barcelona,Spain,
Achraf,Hakimi,1998,Defender,Paris Saint-Germain,Morocco,
Thibaut,Courtois,1992,Goalkeeper,Real Madrid,Belgium,
Robert,Lewandowski,1988,Forward,Barcelona,Poland,
Sadio,Mane,1992,Forward,Al Nassr,Senegal,
Paul,Pogba,1993,Midfielder,Juventus,France,
Gianluigi,Donnarumma,1999,Goalkeeper,Paris Saint-Germain,Italy,
